Año,Mes,Empresa agrupada,Origen aeropuerto,Destino aeropuerto,Origen país,Origen localidad,Vuelos,Pasajeros,Asientos
2025,Enero,Sky Airline,Comodoro Arturo Merino Benítez International Airport,Aeropuerto Comte. Armando Tola,Chile,Santiago,9,980,1674
2025,Enero,Sky Airline,Jorge Chávez International Airport,Aeropuerto Int. Ministro Pistarini,Perú,Lima,31,4998,5766
2025,Enero,Swiss International Air Lines,Aeropuerto Int. Ministro Pistarini,Guarulhos - Governador André Franco Montoro International Airport,Argentina,Buenos Aires,9,2757,3060
2025,Enero,Swiss International Air Lines,Guarulhos - Governador André Franco Montoro International Airport,Aeropuerto Int. Ministro Pistarini,Brasil,São Paulo,8,1570,2720
2025,Enero,Turkish Airlines,Aeropuerto Int. Ministro Pistarini,Guarulhos - Governador André Franco Montoro International Airport,Argentina,Buenos Aires,30,8670,9890
2025,Enero,Turkish Airlines,Guarulhos - Governador André Franco Montoro International Airport,Aeropuerto Int. Ministro Pistarini,Brasil,São Paulo,28,5418,9212
2025,Enero,United Airlines,George Bush Intercontinental Houston Airport,Aeropuerto Int. Ministro Pistarini,Estados Unidos,Houston,56,12041,15013
2025,Enero,United Airlines,Aeropuerto Int. Ministro Pistarini,George Bush Intercontinental Houston Airport,Argentina,Buenos Aires,60,15873,16087
2025,Enero,Aerolíneas Argentinas,Adolfo Suárez Madrid–Barajas Airport,Aeropuerto Int. Ministro Pistarini,España,Madrid,45,9945,11949
2025,Enero,Aerolíneas Argentinas,Leonardo da Vinci (Fiumicino) International Airport,Aeropuerto Int. Ministro Pistarini,Italia,Roma,19,4259,5082
2025,Enero,Aerolíneas Argentinas,Punta Cana International Airport,Aeropuerto Int. Ingeniero Ambrosio Taravella,República Dominicana,Punta Cana,18,2057,3090
2025,Enero,Aerolíneas Argentinas,Cancún International Airport,Aeropuerto Int. Ministro Pistarini,México,Cancún,26,5870,6969
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. de Rosario Islas Malvinas,Hercílio Luz International Airport,Argentina,Rosario,12,1746,2059
2025,Enero,Aerolíneas Argentinas,Aeroparque Jorge Newbery,Presidente Juscelino Kubitschek International Airport,Argentina,Buenos Aires,5,776,860
2025,Enero,Aerolíneas Argentinas,Aeroparque Jorge Newbery,Aeropuerto Internacional Afonso Pena,Argentina,Buenos Aires,20,3012,3392
2025,Enero,Aerolíneas Argentinas,Aeroparque Jorge Newbery,Deputado Luiz Eduardo Magalhães International Airport,Argentina,Buenos Aires,39,6262,6902
2025,Enero,Aerolíneas Argentinas,Aeroparque Jorge Newbery,Silvio Pettirossi International Airport,Argentina,Buenos Aires,42,3779,4563
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Ministro Pistarini,Leonardo da Vinci (Fiumicino) International Airport,Argentina,Buenos Aires,20,5260,5352
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Comodoro Arturo Merino Benítez International Airport,Argentina,Mendoza,9,756,864
2025,Enero,Aerolíneas Argentinas,Presidente Juscelino Kubitschek International Airport,Aeroparque Jorge Newbery,Brasil,Brasilia,3,340,520
2025,Enero,Aerolíneas Argentinas,Aeropuerto Internacional Afonso Pena,Aeroparque Jorge Newbery,Brasil,Curitiba,20,2147,3392
2025,Enero,Aerolíneas Argentinas,Porto Seguro Airport,Aeroparque Jorge Newbery,Brasil,Porto Seguro,9,1229,1608
2025,Enero,Aerolíneas Argentinas,Deputado Luiz Eduardo Magalhães International Airport,Aeroparque Jorge Newbery,Brasil,Salvador,44,5921,7753
2025,Enero,Aerolíneas Argentinas,Comodoro Arturo Merino Benítez International Airport,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Chile,Santiago,9,635,864
2025,Enero,Aerolíneas Argentinas,Silvio Pettirossi International Airport,Aeroparque Jorge Newbery,Paraguay,Asunción,42,3675,4563
2025,Enero,Aerolíneas Argentinas,El Dorado International Airport,Aeroparque Jorge Newbery,Colombia,Bogotá,26,2599,3328
2025,Enero,Aerolíneas Argentinas,Viru Viru International Airport,Aeroparque Jorge Newbery,Bolivia,Santa Cruz de la Sierra,17,1371,1673
2025,Enero,Aerolíneas Argentinas,Jorge Chávez International Airport,Aeroparque Jorge Newbery,Perú,Lima,27,3527,4680
2025,Enero,Aerolíneas Argentinas,Carrasco International /General C L Berisso Airport,Aeropuerto Int. Ministro Pistarini,Uruguay,Montevideo,6,514,724
2025,Enero,Air Europa,Adolfo Suárez Madrid–Barajas Airport,Aeropuerto Int. Ingeniero Ambrosio Taravella,España,Madrid,13,3612,4119
2025,Enero,Air Europa,Aeropuerto Int. Ingeniero Ambrosio Taravella,Adolfo Suárez Madrid–Barajas Airport,Argentina,Córdoba,13,4012,4119
2025,Enero,American Airlines,Aeropuerto Int. Ministro Pistarini,John F Kennedy International Airport,Argentina,Buenos Aires,31,9090,9506
2025,Enero,Avianca,Aeroparque Jorge Newbery,El Dorado International Airport,Argentina,Buenos Aires,13,2030,2377
2025,Enero,Avianca,El Dorado International Airport,Aeroparque Jorge Newbery,Colombia,Bogotá,13,1636,2377
2025,Enero,Avianca,Aeropuerto Int. Ministro Pistarini,Mariscal Sucre International Airport,Argentina,Buenos Aires,25,4016,4248
2025,Enero,Avianca,Mariscal Sucre International Airport,Aeropuerto Int. Ministro Pistarini,Ecuador,Quito,24,3088,4050
2025,Enero,Copa Airlines,Tocumen International Airport,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Panamá,Panamá,26,3251,4010
2025,Enero,Copa Airlines,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Tocumen International Airport,Argentina,Mendoza,26,3825,4010
2025,Enero,Flybondi,Aeroparque Jorge Newbery,Hercílio Luz International Airport,Argentina,Buenos Aires,27,4730,5103
2025,Enero,Flybondi,Aeroparque Jorge Newbery,Guarulhos - Governador André Franco Montoro International Airport,Argentina,Buenos Aires,28,4396,5292
2025,Enero,Flybondi,Hercílio Luz International Airport,Aeroparque Jorge Newbery,Brasil,Florianópolis,41,6340,7749
2025,Enero,Flybondi,Guarulhos - Governador André Franco Montoro International Airport,Aeroparque Jorge Newbery,Brasil,São Paulo,24,3029,4536
2025,Enero,Gol Transportes Aéreos,Aeropuerto Int. de Rosario Islas Malvinas,Rio Galeão – Tom Jobim International Airport,Argentina,Rosario,30,5178,5480
2025,Enero,Gol Transportes Aéreos,Aeropuerto Int. Ingeniero Ambrosio Taravella,Rio Galeão – Tom Jobim International Airport,Argentina,Córdoba,30,5261,5519
2025,Enero,Gol Transportes Aéreos,Aeropuerto Int. Ministro Pistarini,Hercílio Luz International Airport,Argentina,Buenos Aires,71,11776,12975
2025,Enero,Gol Transportes Aéreos,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Guarulhos - Governador André Franco Montoro International Airport,Argentina,Mendoza,18,3034,3285
